Ad group report
"January 1, 2021 - February 8, 2021"
Ad group status,Ad group,Status,Conversions,Currency code,Cost / conv.,Cost,Clicks,Avg. CPC,Conv. rate,Conv. value,Conv. value / cost,All conv.,Avg. session duration (seconds),Pages / session
Enabled,Bungii,Campaign paused,3.00,USD,13.64,40.92,20,2.05,15.00%,2.50,0.06,3.00,76,1.72
Enabled,Courier NYC,Campaign paused,5.00,USD,23.96,119.81,49,2.45,10.20%,2.50,0.02,5.00,75,1.38
Enabled,GoShare,Campaign paused,6.00,USD,11.57,69.41,48,1.45,12.50%,3.50,0.05,6.00,51,1.38
Total: Ad groups,,,14.00,USD,16.44,230.14,117,1.97,11.97%,8.50,0.04,14.00,66,1.43
Total: Account,,,14.00,USD,16.44,230.14,117,1.97,11.97%,8.50,0.04,14.00,65,1.43
